phase,architecture,dim,window,negative,start_lr,epochs,subsample_t,vocab_size,train_time_s,loss_start,loss_end,loss_drop,semantic_score,nn_score,analogy_score,sat_ratio,mean_top1_sim,top1_sim_std,saturation_penalty,model_tag
base,cbow,300,3,5,0.01,20,0.001,4163,28.52,0.693147,0.693048,9.9e-05,0.1577,0.0222,0.5,0.0,0.7897,0.0267,0.0317,cbow_d300_w3_n5_lr0p01_ep20_ss1em03
base,cbow,300,5,5,0.01,20,0.001,4163,30.16,0.693147,0.693049,9.8e-05,0.1563,0.0222,0.5,0.0,0.7915,0.0276,0.0332,cbow_d300_w5_n5_lr0p01_ep20_ss1em03
base,cbow,300,7,5,0.01,20,0.001,4163,28.98,0.693147,0.69305,9.8e-05,0.1546,0.0222,0.5,0.0,0.7936,0.0252,0.0348,cbow_d300_w7_n5_lr0p01_ep20_ss1em03
tuned,cbow,300,3,5,0.005,40,0.001,4163,52.58,0.693147,0.69302,0.000127,0.1282,0.0222,0.5,0.0,0.8266,0.0248,0.0613,cbow_d300_w3_n5_lr0p005_ep40_ss1em03
tuned,cbow,300,5,5,0.005,40,0.001,4163,54.04,0.693147,0.693022,0.000125,0.1277,0.0222,0.5,0.0,0.8271,0.0245,0.0617,cbow_d300_w5_n5_lr0p005_ep40_ss1em03
tuned,cbow,300,7,5,0.005,40,0.001,4163,54.51,0.693147,0.693022,0.000125,0.1265,0.0222,0.5,0.0,0.8287,0.0225,0.0629,cbow_d300_w7_n5_lr0p005_ep40_ss1em03
tuned,cbow,300,7,5,0.01,40,0.001,4163,54.16,0.693147,0.615137,0.07801,0.0,0.0444,0.0,1.0,0.9997,0.0001,0.8398,cbow_d300_w7_n5_lr0p01_ep40_ss1em03
tuned,cbow,300,3,5,0.01,40,0.001,4163,52.61,0.693147,0.617137,0.07601,0.0,0.0222,0.5,1.0,0.9997,0.0002,0.8397,cbow_d300_w3_n5_lr0p01_ep40_ss1em03
base,cbow,100,3,5,0.01,20,0.001,4163,29.2,0.693147,0.692843,0.000304,0.0,0.0222,0.0,0.0,0.8121,0.0339,0.0497,cbow_d100_w3_n5_lr0p01_ep20_ss1em03
base,cbow,200,3,10,0.01,20,0.001,4163,28.52,0.693147,0.51752,0.175628,0.0,0.0222,0.0,1.0,0.9998,0.0,0.8399,cbow_d200_w3_n10_lr0p01_ep20_ss1em03
